[4.68804469e-310 4.68804470e-310 4.68804470e-310], [91.16132235527039]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [91.32800102233887]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [91.49383926391602]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [91.65961742401123]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [91.8243191242218]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [91.99081373214722]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [92.15507388114929]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [92.32123327255249]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [92.48793625831604]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [92.65187215805054]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [92.81816959381104]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [92.98413062095642]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [93.14890956878662]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [93.31393480300903]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [93.47984313964844]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [93.64433121681213]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [93.80965280532837]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [93.97309350967407]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [94.13791608810425]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [94.30478000640869]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [94.47074341773987]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [94.6365294456482]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [94.80485653877258]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [94.97103786468506]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [95.1371922492981]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [95.30360269546509]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [95.47098398208618]
