[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.54996681213379]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.634681224823]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.71908068656921]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.80339455604553]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.88758301734924]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.97167921066284]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [68.05606055259705]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [68.14042210578918]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [68.2248044013977]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [68.30966377258301]
