[0. 0. 0.], [36.7965567111969]
[ -4.1  -10.48  60.96], [74.062748670578]
[ -2.59 -11.54  60.22], [74.14732670783997]
[-5.33 -9.26 60.57], [74.23151683807373]
[ -5.63 -10.71  59.77], [74.3156054019928]
[-5.25 -9.54 60.53], [74.40003967285156]
[-5.02 -9.83 59.61], [74.48357677459717]
[-4.93 -9.75 60.41], [74.56837964057922]
[-4.94 -9.14 60.62], [74.65253686904907]
[ -4.55 -10.01  60.27], [74.73649597167969]
[-4.68 -9.55 60.58], [74.82110500335693]
[-4.44 -9.8  60.44], [74.90609836578369]
[-4.38 -9.88 60.38], [74.99144005775452]
[-4.31 -9.72 60.42], [75.07573962211609]
[ -4.57 -10.17  60.72], [75.15998315811157]
[-4.45 -9.74 60.3 ], [75.24475765228271]
[-4.38 -9.87 60.43], [75.32811117172241]
[-3.73 -9.27 60.11], [75.41342234611511]
[-4.59 -9.54 60.28], [75.49745154380798]
[-4.06 -9.28 60.15], [75.58226442337036]
[-3.58 -7.3  62.42], [75.66630792617798]
[ 1.67 13.89 64.37], [75.75078296661377]
[-5.2  -1.09 58.7 ], [75.8343734741211]
[-4.77  3.64 60.31], [75.91908097267151]
[-5.88 -0.16 59.39], [76.00445628166199]
[-5.67 -1.01 60.17], [76.08908104896545]
[-5.83 -0.67 59.98], [76.17419981956482]
[-5.84 -0.8  59.84], [76.25847387313843]
[-5.51 -1.64 60.05], [76.3431134223938]
[-5.34 -2.39 59.95], [76.42773103713989]
[-5.09 -2.72 59.93], [76.51264309883118]
[-4.84 -3.15 60.21], [76.59779381752014]
[-4.99 -3.45 59.87], [76.68244552612305]
[-4.84 -3.74 59.91], [76.76715278625488]
[-5.67 -4.02 59.92], [76.85246849060059]
[-5.16 -3.66 59.9 ], [76.93697094917297]
[-5.11 -3.84 59.84], [77.0221495628357]
[-5.16 -3.92 59.89], [77.10619235038757]
[-5.   -4.35 59.92], [77.19050002098083]
[-4.63 -3.88 59.66], [77.27450203895569]
[-5.07 -4.08 59.86], [77.35943627357483]
[-4.69 -3.91 59.86], [77.4446325302124]
[-5.42 -4.07 59.77], [77.52940773963928]
[-5.34 -4.36 59.8 ], [77.61355805397034]
[-5.03 -4.74 59.88], [77.69828534126282]
[-2.08 -2.43 60.29], [77.78228712081909]
[ 0.63 14.14 60.86], [77.86600589752197]
[-5.04 -0.07 60.31], [77.9501383304596]
[-5.54  3.39 60.39], [78.03464007377625]
[-7.1   3.2  59.95], [78.11953282356262]
[-5.17  4.29 60.78], [78.20499205589294]
[-5.57  3.94 60.39], [78.28861713409424]
[-5.64  2.59 60.22], [78.37361764907837]
[-5.93  1.79 60.07], [78.45839619636536]
[-5.72  1.57 60.03], [78.5433988571167]
[-5.71  1.83 60.02], [78.62870836257935]
[-5.49  1.41 60.06], [78.71291041374207]
[-5.42  1.36 60.08], [78.79973363876343]
[-5.3   1.49 60.1 ], [78.88615894317627]
[-5.18  1.38 60.11], [78.9719672203064]
[-5.24  1.19 60.12], [79.05690693855286]
[-5.12  0.91 60.02], [79.14245271682739]
[-5.17  1.02 60.04], [79.22842764854431]
[-5.37  0.51 59.94], [79.31421756744385]
[-5.07  0.86 60.  ], [79.40010499954224]
[-5.04  0.9  60.01], [79.48613381385803]
[-4.86  0.86 59.91], [79.57160925865173]
[-5.09  0.81 60.  ], [79.65613269805908]
[-5.44  0.77 60.07], [79.74324202537537]
[-5.34  0.7  59.92], [79.8289303779602]
[-1.52  0.35 62.28], [79.91438031196594]
[17.17  2.65 59.07], [79.99961566925049]
[ 2.83 -2.54 60.64], [80.08418869972229]
[ 5.87 -0.22 59.83], [80.17000579833984]
[ 0.32 -1.52 61.37], [80.25546407699585]
[ 3.86 -0.68 60.41], [80.34116244316101]
[ 0.26 -1.7  60.7 ], [80.4276020526886]
[ 1.61 -0.13 60.33], [80.51166939735413]
[-5.000e-02 -8.100e-01  6.037e+01], [80.5967628955841]
[ 0.81 -0.39 60.28], [80.68735671043396]
[ 0.32 -0.57 60.29], [80.77748250961304]
[ 0.35 -0.51 60.23], [80.86143612861633]
[ 0.32 -0.23 60.28], [80.94666862487793]
[ 0.45 -0.25 60.28], [81.03153324127197]
[ 0.5  -0.16 60.27], [81.11596846580505]
[ 0.41 -0.27 60.25], [81.20042061805725]
[ 0.31 -0.08 60.3 ], [81.28481864929199]
[ 0.15 -0.23 60.19], [81.36931562423706]
[ 0.19 -0.16 60.15], [81.45302295684814]
[ 0.2  -0.18 60.18], [81.53780889511108]
[ 0.22 -0.2  60.15], [81.62153840065002]
[ 0.25 -0.2  60.14], [81.70668029785156]
[ 0.21 -0.21 60.13], [81.79236340522766]
[ 0.22 -0.2  60.13], [81.87681865692139]
[ 0.2  -0.2  60.12], [81.9609305858612]
[-0.29 -0.37 59.29], [82.04519057273865]
[ 0.16 -1.43 57.61], [82.12896156311035]
[ 0.3  -1.34 56.34], [82.21288514137268]
[ 0.32 -1.32 55.87], [82.29725885391235]
[-0.73 -0.79 55.85], [82.38204526901245]
[-0.51 -0.86 55.61], [82.46588969230652]
[-0.57 -0.17 55.76], [82.54940676689148]
[-2.000e-02 -8.700e-01  5.552e+01], [82.63391733169556]
[-0.19 -0.34 55.61], [82.71841549873352]
[ 0.09 -0.77 55.55], [82.80258011817932]
[-2.000e-02 -4.400e-01  5.554e+01], [82.88671088218689]
[ 4.000e-02 -5.400e-01  5.557e+01], [82.97064542770386]
[-0.13 -0.37 55.44], [83.05478405952454]
[-0.19 -0.21 55.46], [83.13853073120117]
[-0.15 -0.38 55.42], [83.22261452674866]
[-0.2  -0.29 55.39], [83.30684161186218]
[-0.2  -0.25 55.38], [83.39156079292297]
[-0.21 -0.24 55.37], [83.47526288032532]
[-0.21 -0.23 55.36], [83.55955004692078]
[-0.21 -0.2  55.36], [83.64331436157227]
