[1.42108547e-14 0.00000000e+00 5.50000000e+01], [40.23655104637146]
[-9.86675758  4.93359255 59.47258832], [70.0034692287445]
[-9.8667673   4.93357494 59.47264143], [70.08633136749268]
[-9.90440764e+00  2.49854604e-02  5.97125356e+01], [70.17013645172119]
[-9.88794082e+00  4.58256479e-03  5.95606045e+01], [70.2536370754242]
[-9.87810388e+00  8.62570586e-03  5.95199120e+01], [70.33736228942871]
[-9.87523832e+00  8.08712551e-03  5.95080767e+01], [70.42018675804138]
[-9.87381952e+00  7.14313136e-03  5.95023913e+01], [70.50301575660706]
[-9.87273365e+00  6.12511093e-03  5.94980626e+01], [70.58659482002258]
[-9.87180071e+00  5.14764243e-03  5.94943042e+01], [70.67025589942932]
[-9.87100477e+00  4.26336716e-03  5.94910594e+01], [70.75433087348938]
[-9.87034475e+00  3.49294396e-03  5.94883407e+01], [70.83875131607056]
[-9.86981171e+00  2.83916772e-03  5.94861250e+01], [70.9224898815155]
[-9.86939017e+00  2.29506932e-03  5.94843586e+01], [71.00620555877686]
[-9.86906223e+00  1.84889782e-03  5.94829738e+01], [71.08938479423523]
[-9.86881041e+00  1.48717558e-03  5.94819023e+01], [71.17345762252808]
[-9.86861910e+00  1.19649048e-03  5.94810817e+01], [71.25734448432922]
[-9.86847512e+00  9.64462895e-04  5.94804588e+01], [71.3416166305542]
[-9.86836769e+00  7.80189045e-04  5.94799895e+01], [71.4251856803894]
[-9.86828819e+00  6.34366982e-04  5.94796384e+01], [71.50995421409607]
[-9.86822987e+00  5.19242348e-04  5.94793774e+01], [71.59444379806519]
[-9.86818747e+00  4.28462116e-04  5.94791848e+01], [71.67887854576111]
[-9.86815696e+00  3.56890603e-04  5.94790437e+01], [71.76265788078308]
[-9.86813526e+00  3.00419658e-04  5.94789410e+01], [71.84750986099243]
[-9.86812003e+00  2.55790313e-04  5.94788669e+01], [71.9319007396698]
[-9.86810951e+00  2.20434180e-04  5.94788140e+01], [72.01595759391785]
[-9.86810240e+00  1.92337456e-04  5.94787765e+01], [72.09892773628235]
[-9.86809772e+00  1.69927219e-04  5.94787503e+01], [72.18257570266724]
[-9.86883646 -4.9577658  59.50229525], [72.26640748977661]
[-9.87834974 -4.93293855 59.51795025], [72.34980177879333]
