[-18.38  -2.09  60.1 ], [61.72199535369873]
[-17.64  -3.17  60.57], [61.80488848686218]
[-18.85  -3.31  59.96], [61.888213872909546]
[-17.93  -1.82  60.22], [61.97207498550415]
[-17.81  -2.3   60.19], [62.056461572647095]
[-18.44  -1.63  60.15], [62.141082525253296]
[-17.77  -1.44  60.55], [62.22451567649841]
[-18.62  -1.41  60.36], [62.30906915664673]
[-17.97  -1.19  60.5 ], [62.39318323135376]
[-18.43  -0.97  60.5 ], [62.47725963592529]
[-18.1   -1.15  60.41], [62.56103730201721]
[-18.58  -0.99  60.51], [62.645005226135254]
[-17.81  -1.07  60.52], [62.72792315483093]
[-18.4   -1.05  60.44], [62.81215953826904]
[-17.7   -0.43  60.63], [62.89621591567993]
[-18.38  -0.76  60.58], [62.98090171813965]
[-17.69  -0.43  60.37], [63.06467270851135]
[-18.39  -0.65  60.52], [63.14916205406189]
[-18.21  -0.85  60.41], [63.23320460319519]
[-17.29  -2.46  61.91], [63.316646337509155]
[-12.76 -24.56  48.69], [63.40105676651001]
[-18.76  -8.75  57.13], [63.48546481132507]
[-15.25 -20.47  51.74], [63.56923818588257]
[-19.4  -10.51  55.72], [63.65378785133362]
[-15.62 -14.01  56.56], [63.73847579956055]
[-18.81  -9.45  56.15], [63.822837352752686]
[-16.67  -9.    56.68], [63.90799331665039]
[-17.81  -9.55  56.98], [63.9929358959198]
[-18.7   -8.15  57.94], [64.07741665840149]
[-17.39  -8.86  59.32], [64.1611602306366]
[-18.8   -7.71  58.25], [64.24555087089539]
[-17.94  -8.44  59.06], [64.32881760597229]
[-18.45  -7.35  58.67], [64.41391110420227]
[-18.02  -7.9   58.58], [64.49923872947693]
[-19.18  -7.25  58.19], [64.58380556106567]
[-18.24  -7.2   58.52], [64.66901993751526]
[-18.36  -7.07  58.76], [64.75266933441162]
[-18.31  -6.88  58.29], [64.83776593208313]
[-18.46  -7.01  58.8 ], [64.922367811203]
[-18.79  -7.01  58.92], [65.00655627250671]
[-18.07  -6.6   57.93], [65.09092688560486]
[-18.51  -6.94  58.82], [65.17441749572754]
[-18.9   -6.84  59.03], [65.25761365890503]
[-18.5   -6.87  58.77], [65.34211778640747]
[-20.54 -13.09  56.26], [65.42615914344788]
[-15.92 -37.61  46.03], [65.51036739349365]
[-13.04 -25.91  56.65], [65.59498643875122]
[-14.18 -31.68  49.01], [65.6789710521698]
[-16.18 -25.4   55.45], [65.76342844963074]
[-17.68 -26.09  50.68], [65.8474793434143]
[-17.61 -24.    56.34], [65.93216753005981]
[-18.05 -23.48  52.34], [66.01571607589722]
[-18.62 -20.97  52.27], [66.1002106666565]
[-17.4  -20.03  55.06], [66.185222864151]
[-18.72 -20.21  54.2 ], [66.27043032646179]
[-17.29 -19.17  55.58], [66.35434365272522]
[-19.08 -18.26  53.8 ], [66.43870377540588]
[-17.8  -18.68  54.81], [66.52286386489868]
[-19.15 -17.72  54.25], [66.6069130897522]
[-18.16 -18.    54.75], [66.69444108009338]
[-19.86 -17.42  53.96], [66.77935433387756]
[-18.35 -17.52  55.37], [66.86326551437378]
[-18.9  -17.62  55.64], [66.94773292541504]
[-18.79 -17.35  54.88], [67.0311017036438]
[-18.77 -16.84  54.16], [67.1153473854065]
[-19.11 -17.09  54.35], [67.198655128479]
[-18.45 -17.25  56.27], [67.28234338760376]
[-19.32 -16.88  54.51], [67.3661720752716]
[-19.16 -16.9   54.49], [67.45032024383545]
[-16.66 -15.44  54.19], [67.53510761260986]
[ -3.23 -14.53  62.16], [67.61882662773132]
[  1.25 -16.89  57.48], [67.70182180404663]
[  4.02 -15.85  60.6 ], [67.78550457954407]
[  0.79 -16.94  59.99], [67.86890769004822]
[ -1.64 -16.09  61.39], [67.95261335372925]
[ -4.4  -16.21  60.42], [68.03689622879028]
[ -2.31 -16.82  59.57], [68.1213526725769]
[ -3.49 -15.87  59.33], [68.20577931404114]
[ -3.92 -16.48  59.07], [68.29104161262512]
[ -4.14 -16.    59.14], [68.3759548664093]
[ -5.93 -16.37  59.76], [68.46094083786011]
[ -5.42 -16.16  59.1 ], [68.54666376113892]
[ -6.7  -15.44  59.64], [68.63058876991272]
[ -5.93 -15.93  58.96], [68.71566963195801]
[ -6.36 -15.69  58.85], [68.80085468292236]
[ -5.9  -15.74  59.12], [68.8848934173584]
[ -6.37 -15.73  58.83], [68.9694094657898]
[ -7.51 -15.99  59.31], [69.05375337600708]
[ -7.   -15.81  58.71], [69.13827514648438]
[ -7.34 -15.97  59.17], [69.22180604934692]
[ -7.12 -15.75  58.61], [69.30582070350647]
[ -6.53 -15.89  58.65], [69.39614057540894]
[ -7.07 -15.8   58.59], [69.47996664047241]
[ -6.7  -15.91  58.71], [69.5639545917511]
[ -2.33 -10.05  59.32], [69.64816522598267]
[-2.06  5.42 63.62], [69.73236203193665]
[-12.51  -1.95  59.73], [69.81742882728577]
[-7.22  5.39 62.47], [69.90202379226685]
[-8.59  3.67 60.91], [69.98541617393494]
[-8.73  2.05 62.06], [70.06898236274719]
[-9.65 -0.21 61.66], [70.15317010879517]
[-10.09  -1.51  61.33], [70.236811876297]
[-8.88 -0.55 61.23], [70.32109808921814]
[-9.72 -2.21 60.93], [70.40502142906189]
[-9.79 -3.11 61.73], [70.48869681358337]
[-9.43 -2.37 61.05], [70.57211375236511]
[-9.58 -3.45 60.79], [70.65541195869446]
[-9.51 -3.59 61.01], [70.73969888687134]
[-9.56 -3.44 60.98], [70.82418584823608]
[-9.36 -4.26 60.8 ], [70.90890431404114]
[-9.53 -3.52 60.89], [70.99255871772766]
[-9.61 -4.24 60.73], [71.07691550254822]
[-9.76 -3.96 60.78], [71.16125702857971]
[-9.46 -3.66 60.8 ], [71.24557971954346]
[-9.83 -4.32 60.73], [71.32987070083618]
[-9.41 -3.93 60.85], [71.41384148597717]
[-9.75 -3.79 60.58], [71.49726819992065]
[-9.54 -4.18 60.83], [71.58226299285889]
[-9.55 -3.69 60.42], [71.66629981994629]
[-5.53  0.8  60.96], [71.7495846748352]
[-2.21 15.73 61.18], [71.83302092552185]
[-10.43   1.61  60.28], [71.91743564605713]
[-6.94  8.17 61.55], [72.00196576118469]
[-8.86  5.28 61.75], [72.08598351478577]
[-7.9   5.66 61.79], [72.17108273506165]
[-8.7   5.98 61.71], [72.25492763519287]
[-8.54  4.98 61.53], [72.33930087089539]
[-8.24  5.82 61.73], [72.42422986030579]
[-8.86  4.33 61.53], [72.50930285453796]
[-8.2   5.15 61.84], [72.59328079223633]
[-8.92  4.32 61.62], [72.67770147323608]
[-8.25  4.15 61.77], [72.7610936164856]
[-8.04  4.76 61.67], [72.8462381362915]
[-8.59  4.48 61.68], [72.93053221702576]
[-8.36  4.08 61.71], [73.0147933959961]
[-8.67  4.27 61.75], [73.10051131248474]
[-8.26  3.83 61.72], [73.1847198009491]
[-8.81  3.15 61.58], [73.26905965805054]
[-8.53  3.85 61.66], [73.35287737846375]
[-8.32  3.79 61.67], [73.43778657913208]
[-8.78  3.89 61.57], [73.52900052070618]
