[1.42108547e-14 0.00000000e+00 5.50000000e+01], [31.057428121566772]
[-9.86822987e+00  5.19242348e-04  5.94793774e+01], [62.47698140144348]
[-9.86818747e+00  4.28462116e-04  5.94791848e+01], [62.56077766418457]
[-9.86815696e+00  3.56890603e-04  5.94790437e+01], [62.64474582672119]
[-9.86813526e+00  3.00419658e-04  5.94789410e+01], [62.72770619392395]
[-9.86812003e+00  2.55790313e-04  5.94788669e+01], [62.81194519996643]
[-9.86810951e+00  2.20434180e-04  5.94788140e+01], [62.89584565162659]
[-9.86810240e+00  1.92337456e-04  5.94787765e+01], [62.98057508468628]
[-9.86809772e+00  1.69927219e-04  5.94787503e+01], [63.06439208984375]
[-9.86883646 -4.9577658  59.50229525], [63.14882040023804]
[-9.87834974 -4.93293855 59.51795025], [63.23270630836487]
[-9.87562303 -4.92857978 59.50781423], [63.31618404388428]
[-9.8745848  -4.92873633 59.50373901], [63.400561571121216]
[-9.87366437 -4.92929032 59.50029357], [63.4850070476532]
[-9.87265051 -4.92986899 59.49647269], [63.56898260116577]
[-9.87162506 -4.93039832 59.49255513], [63.65355730056763]
[-9.87067315 -4.93086528 59.48887554], [63.738250732421875]
[-9.86984093 -4.93127027 59.48562394], [63.82261419296265]
[-9.8691428  -4.93161686 59.48286605], [63.90776538848877]
[-9.86857415 -4.93190981 59.48059172], [63.99258852005005]
[-9.868121   -4.93215458 59.47875276], [64.07719087600708]
[-9.86776597 -4.93235704 59.47728676], [64.160888671875]
[-9.86749164 -4.93252311 59.47613022], [64.2453248500824]
[-9.86728218 -4.93265843 59.47522504], [64.32854342460632]
[-9.86712396 -4.93276819 59.47452099], [64.4135046005249]
[-9.86700564 -4.93285697 59.47397615], [64.4989972114563]
[-9.86691806 -4.93292869 59.4735563 ], [64.58349180221558]
[-9.86685389 -4.93298666 59.47323395], [64.66845488548279]
[-9.8668074  -4.93303359 59.47298726], [64.75239419937134]
[-9.86677411 -4.93307171 59.47279902], [64.83753800392151]
[-9.86675059 -4.93310278 59.47265575], [64.9221408367157]
[-9.86673425 -4.93312823 59.47254697], [65.00632667541504]
[-9.86672311 -4.93314917 59.47246455], [65.09069895744324]
[-9.86671571 -4.93316649 59.47240221], [65.17418813705444]
[-9.8330733  -9.88271107 59.32659229], [65.25704884529114]
[-9.8672926  -9.85766271 59.469586  ], [65.34176683425903]
[-9.87003221 -9.85821511 59.48239971], [65.42592716217041]
[-9.87066582 -9.85964124 59.48530188], [65.51014924049377]
[-9.87013987 -9.86037575 59.48373038], [65.59475898742676]
[-9.86898777 -9.86062845 59.47969341], [65.67873692512512]
[-9.86759905 -9.86062011 59.47466864], [65.7627923488617]
[-9.86621128 -9.86049909 59.46956433], [65.84724473953247]
[-9.86494862 -9.86034707 59.46485794], [65.93192148208618]
[-9.86386272 -9.86020233 59.4607519 ], [66.01516270637512]
